address,chain_type,threshold,account_manager
0xF7D57df25a3B45381c2a523CBcDceD14890A8234,EVM,5000,Former Manager Ele
TGAvJ2XavHMzH1V7ku4LiRDPHGVSXcLCGm,Tron,5000,Manager Ele
TJ5ta5uVx6DnzuY8ixtA3NJD1Sosb2tmXz,Tron,5000,Former Manager Gozde
TF8JZwEcTMSzS3ovpaFgPqwVeCXtB47zxv,Tron,5000,Null
TP3F34fbbqK9RnN4j43oErsqJ82zGxTZdH,Tron,5000,Null
TJNMVEhX3DMAS6NJfaX7VoVoHwo4pqcB67,Tron,5000,Former Manager Van Anh
TJkfyUe9MxN4i3k24gRPUhMoAnzsDT4cjM,Tron,5000,Manager Ele (Lifetime VIP)
TL9MEbGNfbyJaFFJC85EDbxCFnYx7yTnJb,Tron,5000,Manager Ele
TUGKkyLHdUokKniadW2D6E4hyrxXhNTgwN,Tron,5000,Manager Ele
0x6Cf1c145C29D4430A710e692f97A6A3ADf9d48fC,EVM,5000,Manager Ele (Lifetime VIP)
TP2TmJd14GfoeF4mJxvLRapUHsoNpRbCU2,Tron,5000,Manager Burcu
THWjr4TtTc63WGtPgQV4KSZHJU8EvEojp1,Tron,5000,Manager Ele
TPTukFWaR1UMNEBS56mP64sLzXkphhgbWA,Tron,5000,Manager Ele
TXQx2mv35qLuF4crnCaQZHQX23xV33i3JS,Tron,5000,Former Manager Paula
TDcu2s4HYbswP4nc9SM2AYnGjFKWa7nXK2,Tron,5000,Specialist Elizabete
TF8kzMqhnFMw3vpttUzZQVLkPwQ7ERKmEf,Tron,5000,Manager Susan
TTHXmax5zM4yBXbKxh8gyjdKJjkxCeVrsM,Tron,5000,Manager Van
THCFzHXbc2kET8kLwoiLv5Gctm2Lz6HBq2,Tron,5000,Manager Nicole
THtJdb2E7DGx7tdTHfDGcaTNiBFNMbUDc8,Tron,5000,Manager Ele
TCVbjnY1DMMF4MbcQFsmVBo9r5nqqqJXqA,Tron,5000,Manager Taehee
TPygwFbP8zCnn9EVENVRhitpSbD8xbUNsd,Tron,5000,Manager Ele
TB2G8AiSVu6NGgMXNrbjfJwkuizNnuXpzS,Tron,5000,Manager Ele
TQtZ6xiZX2i5wihBmqbfH24tiDN3xUcxpH,Tron,5000,Manager Ele
TAsR8RwQXrjMVzYYFEqvg1j1KxGg2ymf5Y,Tron,5000,Manager Gozde
0x0bf48dd4da10c50249e8951f078d3d0d9dc0667f,EVM,5000,Manager Susan
TSWAn4HeF8t4J2NezUxu86husJ2XqhPfMM,Tron,5000,Manager Gozde
TUHbXCNnJ56qdWhR39BfGjNH9zWMjVfRcg,Tron,5000,Former Manager Van Anh
TUJyWjnS2kDNDF3uAv5eaPK7EnkAeJz8iC,Tron,5000,Manager Taehee
TYw2EtkncB2BGrk8yC7i7Mp2f6Pj1xeWRz,Tron,5000,Former Manager Ele
TUPD1NzRKoAR89RB7KCwmY95dxoJxaQWhG,Tron,5000,Former Manager Ele
TQwyVA9oYheW9afBLgvki4pNi5r17ZB1Ww,Tron,5000,Manager Nicole
0xe1b276982863aadaa656cdaf1a9b897135859ec3,EVM,5000,Former Manager Ele
TAAgtzxochz495xgxVUxTL7MEydxsd3ZBy,Tron,5000,Manager Van
TLmJe8gAerT7xjbwowMLe8kJJAR63fZRA6,Tron,5000,Former Manager Yuki
TVnJyp1W3tux2i25MpJVSoDnLn3LuR5kU7,Tron,5000,Manager Gozde
0xad87c45364faeed963ed5a60472eee4eb45d0c51,EVM,5000,Null
THtRwTHYbbWJtQtkem2oeL5BLoaJ7mj9kF,Tron,5000,Former Manager Mia M
0x1810577a83d0b2f23aeD6486f416DB6B0b2a83C8,EVM,5000,Manager Wataru
TT8M9xktcBWwoXX82YNBGEFV9k6wTG4Ags,Tron,5000,Manager Ele
0x84bab464e0acc05594dd60222ef769cc56a689b5,EVM,5000,Manager Felipe
0x7538bb5101efca47e55b92d3f6265fabb7067335,EVM,5000,Potential VIP
TDq98jJ7n5mjKPPMx1MqFY7REZr6kd2Nkh,Tron,5000,Manager Ele
THApYvaiJ3xKhQETmPdL8NPXAkC1JQLq88,Tron,5000,Manager Susan
0x1cd38BC0268FeB2B06D958ABCCB73C2330417C40,EVM,5000,Manager Nicole
TRa15VDUFnVZX3vSotJALHombM9wWcD7Dq,Tron,5000,Former Manager Gozde
TUutdi8U1H4nffL1JWSRTeWCFA5fhPdCmi,Tron,5000,Former Manager Taehee
TGmQ873BVaU9uQWPUvis8FVwBfAKw1euka,Tron,5000,Manager Ele
0xafdc8ddeb0e6f7608d33299ddebd304fcef52ced,EVM,5000,Former Manager Ele
TNpHtZwZ8bE6zFfd6cE8n1J6JAFQjNgtYh,Tron,5000,Manager Ele
TYgArHeBVn5sT4U62qNCfqUcNpZnUhcCiN,Tron,5000,Manager Ele
TEKJnjcrGBEeQgFagpSDRrL6ua1YfMBagC,Tron,5000,Manager Ele
TNiQ4iAxTuXobj31R1Y8uFw92NEbbZ6Vvd,Tron,5000,Manager Van
TR5h7VpHW6Mzo27Eu9DG5jonUjmvxZNQ6W,Tron,5000,Manager Van
TD8CkhWZ7hjiT7ifHxzgwvAuycv1KYNrzQ,Tron,5000,Manager Ele
TD4gSys4vUCpE8jRBaw4HmmVZ3poQWaAbB,Tron,5000,Manager Wataru
TNfgWuYt7g9znmqpceDLZoBchNC6frr8Tj,Tron,5000,Null
TTEDFBqnEp15HHJkSpfCMFQZLCTwJMpn8o,Tron,5000,Manager Wataru
TKa2oUaS2rdEB6sDyWFchd7K4yPmcUAyH4,Tron,5000,Null
TRai3D4f1F7R2xHu66RUgX9QwgFZ3SjcXj,Tron,5000,Former Manager Paula
0x35f1009c50f8600513BC52F0e985aDE0Ebf1EE4A,EVM,5000,Manager Ele
TW7BsnfiZWickSccJob4ciz3vTBo3xRkvX,Tron,5000,Manager Susan
0x3e65e49410c830e125d4a163a022340dea365105,EVM,5000,Null
TNkd69X8rDsVQFNJuXnmcUHNsTvWt3nNmT,Tron,5000,Former Manager Taehee
TJsVq5jr3mGFzTf1DQtWAeKYA5o5GSZFpw,Tron,5000,Manager Yuki
0x73D25C0482966A6eC86d42ef90f030E6f27B4aE4,EVM,5000,Former Manager Van Anh
TJjiZVm4FqLUF28sHS8LR8MXAtwRLQ2SeH,Tron,5000,Former Manager Gozde
0x00c72e5a639aa0cc30eeee3fbbfc6648ac02882d,EVM,5000,Former Manager Ele
THmMMFzmuLw18ZmATkGJuykt3YKhU3x5Pe,Tron,5000,Manager Taehee
TQEpMujrACdZjVEBrNwBUHbdz9AnTLV8K9,Tron,5000,Former Manager Ele
TUnUeJhxMFSfLUNyUXYkAefED1XSEBuDsh,Tron,5000,Manager Yuki
TAD28fqVvV9s4FeMgRDiP9YhgNrqCqwxSu,Tron,5000,Former Manager Van Anh
0xB13380AFaE1025EAe4A73536FE651f61718Ca75E,EVM,5000,Manager Taehee
TLE1jheAg2DT3MpFix6uz7nABd2Vrw74dP,Tron,5000,Null
0xAa6f6b7CF8933C693d4f6DB5aE1cC09BA46F040E,EVM,5000,Former Manager Nicole
TUwVtiwY7sAoxmZPFn3ZrcD1fLPk1CqQvG,Tron,5000,Former Manager Ele
0x1af8222e5eee3c11d0623c44157becafb1da8565,EVM,5000,Manager Susan
TGzaeWf6N9R5DjS3ozdgyTuqKfPXHeMGYp,Tron,5000,Manager Van
0x47Cc9553A142D2750694b2846dd31A1412868ba2,EVM,5000,Manager Yuki
0xEa34C0c4f62d4202d2b1cbf992F8bbFE92E7b284,EVM,5000,Manager Taehee
TA3iS4PjDxPp81BTNNrfRAr4RbBa33NDVK,Tron,5000,Manager Susan
TDT545T23SmBoDFgPN17ViJiUH1HSiR27g,Tron,5000,Manager Nicole
TBtLi9AkVkU2ASjmYPJHwXMtXq55ZRvw1Y,Tron,5000,Manager Van
TGqhgNZkd8SiFsHv7PP6mUX476y67u8HbW,Tron,5000,Null
TFavi59BfVBmMMrR91YJLLc2E1xUNkBUNP,Tron,5000,Monitoring Victoria
TTfp7TyyE4YhuNBrgQgYCTLqDJDyjA7gBd,Tron,5000,Manager Yuki
THaMFxfXJY4KMVmyiBwxp8B7BZPH8YWqv6,Tron,5000,Manager Taehee
0xdd403374b3592378fdb8ecc8c593df6e0aebaca5,EVM,5000,Former Manager Taehee
TNSoQp3oV6WAiBF7WcMgjeYqBxCMHVMdJK,Tron,5000,Monitoring Bosco
THHf1k6cqrFsDnviMJmGoGvLruxH9V74Lr,Tron,5000,Manager Susan
